protein,X60_1,X60_2,X60_3,X60_4,X100_1,X100_2,X100_3,X100_4,X200_1,X200_2,X200_3,X200_4,X300_1,X300_2,X300_3,X300_4,X1000_1,X1000_2,X1000_3,X1000_4,F_distribution,Pvalue,Result
sll0053,1409101.70198,1683062.55761,1122730.25771,1209601.48394,1431832.33574,975729.735234,1193475.64065,961716.041289,1202756.70816,1753782.6671400003,860178.1903299999,1659390.0208100001,649082.4301,1272107.3015700001,1348384.08448,1109281.10549,1685891.3494,1455274.41291,2169019.30387,667649.635911,0.7287339205644244,0.5861196818579648,no
sll0057,29363266.6903,19321298.33021,16715283.714820001,15584528.889011,17187711.24383,15392683.101403,15195077.42637,16845009.18339,16867535.33641,14199649.786856,18457622.204479,12486865.476046002,22259509.019755,12427890.829325,16478143.169101002,17236114.332764998,9822417.935333502,10415941.798921,11134142.506736,7541645.38474,4.4178027416654935,0.014733432201401187,yes
sll0058,32039801.451350298,20171998.101553,15905162.7323602,19618137.2268593,23881461.393808603,20386488.892279897,20402728.7267046,18529836.898726102,39757410.771147296,40379262.2869591,33822427.48101,63195627.932776906,37157304.5313641,41412541.403985,44167148.4624456,47764500.5515785,44609310.2286053,41144047.3086849,28944440.6828197,33507011.7521474,8.674629285327462,0.0007816984669100334,yes
sll0064,2997631.2228836003,1897483.9833540001,12845978.671154,14023100.44533,6102369.113961,2117552.80851,7697769.3935442995,6125307.621533,5566696.40684,3001700.96437,6476875.87149,1582412.4870860002,6249750.741955,2424889.406806,3189830.030376,2074305.788282,701302.010837,776770.485533,822125.985984,319997.0922123,2.601581638486782,0.0782392796860173,no
sll0066,288154.842158,456084.251116,281747.039559,274493.783647,486180.79887,321725.845918,238085.042076,298249.267721,422834.18531599996,421326.334955,315147.972433,393112.735417,275719.277446,464691.732222,295593.15526100004,440194.104376,437316.64307299996,814320.239608,499516.121229,418102.98005300004,2.3647565849471146,0.09965698983714047,no
sll0067,13181057.3639,2946962.77421,2327318.42104,2675252.72339,2584377.9248599997,2313346.90639,2113576.44152,1893450.04697,16351410.3325,2624574.78086,2325424.03491,3182650.9303,2123799.9500599997,2718289.3670799998,2675719.1178599996,2566086.5649599996,3336308.7162,3303520.05238,2829974.79724,2808865.65247,0.8183058582857653,0.5332446906602916,no
sll0068,324135.283904,426871.321236,214520.7915776,317817.210173,227626.76701789998,287309.844309,242977.499932,381449.274593,343539.29552399996,437924.25078100007,346713.947504,466715.137036,220948.5402685,368106.633164,290299.648575,255836.605583,388927.302639,301638.7235,577816.918359,292855.035953,1.6498203261671311,0.21368924855898094,no
sll0069,1816526.613841,1862194.570598,1523954.0788790002,2067988.8292470002,3466066.378,1018513.249507,1468395.178983,1117869.432781,719318.5812084001,1532283.227026,1698127.515326,919293.5821610001,611177.847254,1405255.6086219999,1387526.679781,657368.2059666,792230.4750401,887320.0951206,1089869.702817,1620307.829016,1.5111459825606646,0.24889833233925365,no
sll0071,391658.773691,576613.376881,445886.426792,474129.62420600007,509952.100387,423791.907848,376948.63105,453536.48163900006,620837.978614,540404.029073,423808.263093,523070.588813,364309.961346,467212.48519,389634.48414899997,331781.177024,299163.5930609,389248.710626,465265.041699,401589.518959,2.9211674163597685,0.05696130441090982,no
sll0072,244512.644641,471035.00904,339118.461373,359285.566808,216656.684758,272969.18778000004,151455.735376,205205.187252,291986.853647,342934.974306,274286.28668099997,347695.850864,221421.12689299998,275255.168068,343656.987059,255818.05663600002,248080.70927399996,251190.37758000003,312859.260289,160697.727603,3.320065311880713,0.038894264811209826,yes
sll0078,295818.80713629304,443519.73509170295,541875.653256451,551719.028713143,586750.425021716,645238.7507633229,417554.120838564,1890675.23767617,2107753.81854828,2248385.96898979,1110729.2647948998,2481123.65072846,946641.979762239,1852944.39780199,1459493.18336799,1398717.86172022,1297166.00636477,1770648.12669174,2233159.16654599,1569668.57177281,6.805546369321698,0.0024843282797049875,yes
sll0080,3049608.971457,6239307.5591,6156201.53,6295305.041669999,4064541.61539,6641391.3524400005,4890350.60804,4625492.319130001,4197842.91134,3486417.5295,4648339.67146,3070225.2029,4296463.07192,2380626.2647,2711448.96977,2836252.73254,1558849.707989,1230872.135428,1852528.212784,944903.626336,10.27609132101525,0.00032792602728549654,yes
sll0086,1689659.79105555,1694413.83725633,1166046.83974092,1519636.87515813,1135475.75004986,863721.2908845859,1044271.94216802,540265.68760804,1012972.82790813,425462.713770128,914832.0303825929,960919.271588084,375990.322456075,937054.515354059,942550.70935082,766645.926440156,692279.665254176,638820.9027748139,921929.911896768,829903.456088046,7.021781950595905,0.0021533778943009017,yes
sll0088,486997.993688,450058.333874,375973.720832,434739.653732,398434.31226700003,399077.659644,248488.20640100003,148318.68924100001,556065.024334,444071.063846,511275.92792600003,370358.085267,572109.782168,380987.216588,488751.92636800004,498022.378825,243009.901763,139256.429053,323825.234133,166900.29077300002,7.495796659469215,0.0015881496306772583,yes
sll0098,337867.193723,561654.0512979999,355099.258976,430681.68881499994,380146.696175,254653.37311999997,259667.83709060002,290945.394848,268149.857495,417111.079697,424374.977917,407155.462639,387897.62481199997,471287.49971199996,406864.205923,463507.586476,182660.8773444,395156.095317,594597.658106,292035.698961,1.1251301428253715,0.38163429772337876,no
sll0102,1235451.84945,790957.796383,580959.8561201,351600.5782422,431930.68763500004,714097.806607,656159.675246,464885.72824799997,644547.654169,934747.1914100001,767423.367943,1192614.4215819999,497597.423463,1084597.084732,529433.127847,781091.0438890001,1008226.333816,499143.05341000005,1149436.22479,1047498.439882,1.0903228377238863,0.3965869709316827,no
sll0136,360537.178025,764314.835097,706440.26655,795187.740554,931008.578661,839613.180342,854894.213843,867297.6226100001,1237238.05101,1165562.28747,1150556.9189,1201195.17704,1079665.41351,1145736.54833,1102771.5263,1116842.92166,1188441.87161,835656.47806,1038835.81208,920857.0837940001,13.00913429561501,9.062485256794995e-05,yes
sll0141,95291.7026015,103927.22683099999,103059.647103,156312.544907,106322.060925,100878.845401,68429.81879990001,190460.210873,136047.61709,123131.64048199999,75122.7390875,126851.032722,94788.08005389999,118689.0175,151617.460113,64153.725359599994,190161.588206,328044.673164,189405.989703,398374.852065,6.475416042048555,0.003106398963742366,yes
sll0144,3545884.03131833,5654155.69570059,2439646.98631728,4734323.80361321,4461653.7348086,4361900.11871571,3287432.6858891,682693.957888966,1047183.3872895001,6153234.93684016,7521916.265226201,6369653.31446421,1540526.50393166,6432626.90055222,5940990.92443279,6880352.12730989,1674614.81952497,2232835.55166536,4142406.02495464,3047516.81088897,1.2508391492750843,0.33204219204777796,no
sll0145,13049663.6028859,14659643.502702698,12623018.4593763,13611714.038038401,12431251.5410262,11470394.337284598,10464794.675479902,374603.824846776,16181098.735300198,13644191.4657605,16181814.8382413,14071221.553241199,18956525.127882298,16740916.0690395,16708978.690692801,18162840.707126003,23725086.4842083,23584070.591535896,13422488.311574,24219558.8228925,7.038278930225436,0.002130247158142704,yes
sll0147,236805.28743059302,571275.270110584,795339.4593593591,626759.409484895,518027.627506021,279327.809758867,534642.616934684,488335.543521561,813167.588613288,831022.810440853,434834.13342161797,698350.1845703779,379525.264757296,710560.388714869,798771.193729448,710705.3603721091,533343.656684391,864992.421761609,1001097.15181818,661683.66165006,1.627035375923817,0.2190957020816985,no
sll0148,1110603.6754,1050497.46282,491704.001917,391512.053685,376508.55371999997,97449.33038089999,99276.9517447,344974.244279,670119.4857760001,255625.296654,266740.82369,279180.365475,343450.141934,182821.636255,176294.31310899998,281027.209109,56862.7990136,206739.633093,157291.904564,105941.530912,5.690661561798708,0.005429045268116941,yes
sll0149,2316471.90088,4774430.06365,5325905.3231,4331998.05355,2150850.61658,4735727.64741,1404667.76804,4278787.694619999,1657646.5165,1128518.49071,2175077.01166,892836.0345930001,2270605.64883,750977.7556939999,946260.0187280001,1110322.1780700001,485449.033448,488037.50203900004,656053.392525,443750.502763,8.801132130795464,0.000727158752134789,yes
sll0154,976424.9233860001,918518.250525,624898.827542,573842.435545,678834.86725,541446.279001,684094.424345,560810.440868,886898.079758,1140219.04729,801099.537172,1399855.6354399999,806173.058342,1470642.1298,848455.406599,1177649.30116,2122080.36545,1572906.52015,267673.511687,1361236.37518,1.9020614635829252,0.1624468810829777,no
sll0156,264904.646235,286150.70419,194498.848768,173110.019722,188689.150338,95631.9907603,82109.4149023,431817.36543299997,160200.372653,226213.546737,136754.411644,285562.066029,115076.879545,242582.939875,193517.269778,150986.532994,373891.401925,280990.636301,558937.574218,361117.845477,3.062740959927915,0.04965595629471039,yes
sll0158,9520879.46124141,8300982.49789215,6298384.72970257,7373900.23285765,8370429.14884982,6404693.48145069,7030405.83140949,4424843.08114067,9890173.53436572,8513588.37186498,7389652.88757745,9798059.87951598,6680794.28522318,9531867.4268269,7745313.67419913,7537276.74133993,10780630.810083099,6387632.68259671,9832429.23956377,7672693.20271217,1.472897134329145,0.2596357863862375,no
sll0163,436530.190613,468315.57437700004,337501.46084099996,268357.50069699995,353976.604948,88294.72093360001,296461.467081,122556.12644600001,489048.755783,233856.457779,253180.45753800002,187915.161624,572324.4793189999,63919.14579249999,162624.794396,200934.39761800002,381817.17682199995,481991.693621,409573.779255,718589.568558,2.2130172783494944,0.11671441021279327,no
sll0166,132669.579892,322238.09986,185375.543936,240767.932661,178172.186266,184028.401337,127168.268414,152056.082789,280817.372446,324149.409271,242922.678054,339469.509601,164344.34011199998,292239.54823200003,301284.958417,241528.51370799998,391741.552416,275790.42921599996,586527.659325,400821.042001,6.122230431629896,0.003974228655241834,yes
sll0169,702269.935293928,704710.43890891,658050.053815505,690760.841221275,848756.003611017,707451.072946226,699681.56089605,506909.742375143,870024.06359533,966578.4623265859,745641.7546825841,935850.157129987,641492.89228016,896188.648726943,901417.0376171421,811770.432204871,1251301.79736467,1080527.89562986,1705620.70962256,1233840.61183196,11.45609026018518,0.00018321091246830453,yes
sll0170,37839588.3772802,39333032.567614794,30926406.367226698,36766153.4030711,38057361.9536651,39224564.8581299,33678248.9777734,35346814.96506911,69285507.9236995,76087472.66740009,65883309.9100793,90461389.1651346,79209538.3958813,94467057.612408,94188296.39293559,91226766.0509392,120052847.967192,122684660.31508999,79756443.4750342,103270348.909339,34.45860414660541,2.1335664200048982e-07,yes
sll0171,1604674.3117280002,1793256.439762,1392471.730615,1404929.039471,1498139.194726,1190981.677267,1281570.254192,783163.683591,1480461.632074,1612040.606526,1714692.901226,2029690.9265669999,1205996.636066,1587211.726912,1817625.735678,1322564.596253,1107594.088811,879621.9991139999,1597008.357747,895607.2550530001,3.3658785618950966,0.03726491211347901,yes
sll0172,3285254.78537282,7994987.91514522,7217853.5666756,8374560.49905849,8054288.44656495,6970845.68733446,5315174.3023834005,13959825.360448401,9609649.43604212,6320580.14277507,6903599.61492819,6958496.15489252,7119343.10312104,5414268.93981063,7277320.08041275,6111496.08267173,6169863.25466388,8472114.78141686,4493715.11611164,7475724.32602377,0.5874677316876643,0.6767222136729057,no
sll0173,2401450.568089,548215.8302130001,692810.325911,505200.384724,2177505.151395,557388.691491,2280328.183197,1126450.852157,781120.76279,479430.122664,631699.419024,436395.09745600005,974039.192559,490355.80255,428998.235402,519348.943637,338055.883185,518819.52284399996,320914.766751,340328.448659,2.6314931766306477,0.07591536348048174,no
sll0179,1740439.7474310002,928390.8725219999,2081891.5556150002,2255572.487365,2389468.309785,2304896.163286,2333955.217091,1840431.98095,4143067.412816,4450978.347058999,3500998.6933870004,4901326.2961989995,3734901.115526,4594958.457659,4062874.525597,3819257.66082,5103196.729512,4253306.535858001,5613247.9576779995,3793583.3321419996,21.93906431971827,3.9962969951419275e-06,yes
sll0180,7830960.13202834,6295239.98736417,5356136.54657955,5366633.64309268,7958092.14538313,5368921.20909066,6151904.24851731,2118639.78521082,5547214.26359795,5839144.64993706,5752642.12757571,6596931.14510233,4875004.51494426,5216677.80949323,5023074.05418969,5828396.1995987,7409577.86944774,7056323.24481324,9765830.21931137,9278374.79960724,3.3531720403513363,0.037709069606363915,yes
sll0182,801278.99049,499427.30662600003,360903.092712,410308.26586,575354.440966,361341.01438,567462.479177,421732.284736,481845.65896800003,516266.00233000005,427544.538875,516342.98175200005,371277.55958400003,479384.91571400006,392416.145508,533737.0068890001,392228.86192199995,404140.9574,863629.2501780001,908560.216017,0.8423180034928192,0.5197276571764976,no
sll0183,293322.59630100004,515132.35483100003,256161.611124,365848.692206,387540.332258,287815.893461,161655.653886,360798.388021,341163.57790100004,310102.094124,338719.84065900004,309264.228301,275094.892802,338753.87180100003,232656.389718,284808.713838,319475.177509,199578.80998299998,307206.870807,204842.217626,0.9962338192455874,0.43981150094806165,no
sll0184,394225.85674099997,191691.55513199998,62881.140886099995,120294.960878,66010.9853046,150264.88668199998,146396.614654,346570.35089,151191.209864,205039.624431,48493.5527953,101480.354258,82967.58870510002,92612.4190146,151571.064275,148026.036514,46135.0102315,188633.243917,456665.390022,223244.901754,0.6073813817323891,0.6634809480128752,no
sll0185,5562978.91865,1237074.17891,2741577.929039,3337402.62861,5950532.776959999,2110732.017082,3055455.0285099996,1949301.142829,4392609.34246,4270206.53178,4104054.50705,2065735.9071240001,2807980.89135,2768154.71917,3461562.76251,3334804.1962900003,2970307.284854,4235211.512248999,5854066.122114,3039562.531857,0.3105627544683318,0.8664384531481478,no
sll0188,326038.538845758,652326.694422879,666417.4112204721,639485.9291482021,563881.9069726911,616136.3779527571,206816.595734075,1623990.58540872,2248606.66020314,1647396.7056306002,1978604.7382988997,2154303.75642339,2279693.37911815,1986982.57358431,1655328.58210837,2063113.0364474,3471984.05493098,2706532.56348258,2233240.83128904,3047824.41730641,22.79744927968505,3.138123837261632e-06,yes
sll0195,139933.199402,123287.90283199999,87888.5453227,114758.12305699999,193840.63742,132649.53790899998,69540.84084330001,128812.78713800001,372917.282536,284415.80856100004,353919.004614,276170.93652,515847.01007799996,294531.02998,222679.310242,279557.048236,251955.12735300002,254306.899907,237665.495452,157282.68886199998,8.404969100949069,0.000914112636518592,yes
