"","protein","X60_1","X60_2","X60_3","X60_4","X100_1","X100_2","X100_3","X100_4","X200_1","X200_2","X200_3","X200_4","X300_1","X300_2","X300_3","X300_4","X1000_1","X1000_2","X1000_3","X1000_4"
"30","sll0071",391658.773691,576613.376881,445886.426792,474129.624206,509952.100387,423791.907848,376948.63105,453536.481639,620837.978614,540404.029073,423808.263093,523070.588813,364309.961346,467212.48519,389634.484149,331781.177024,299163.5930609,389248.710626,465265.041699,401589.518959
"31","sll0072",244512.644641,471035.00904,339118.461373,359285.566808,216656.684758,272969.18778,151455.735376,205205.187252,291986.853647,342934.974306,274286.286681,347695.850864,221421.126893,275255.168068,343656.987059,255818.056636,248080.709274,251190.37758,312859.260289,160697.727603
"32","sll0078",295818.807136293,443519.735091703,541875.653256451,551719.028713143,586750.425021716,645238.750763323,417554.120838564,1890675.23767617,2107753.81854828,2248385.96898979,1110729.2647949,2481123.65072846,946641.979762239,1852944.39780199,1459493.18336799,1398717.86172022,1297166.00636477,1770648.12669174,2233159.16654599,1569668.57177281
"33","sll0080",3049608.971457,6239307.5591,6156201.53,6295305.04167,4064541.61539,6641391.35244,4890350.60804,4625492.31913,4197842.91134,3486417.5295,4648339.67146,3070225.2029,4296463.07192,2380626.2647,2711448.96977,2836252.73254,1558849.707989,1230872.135428,1852528.212784,944903.626336
"34","sll0086",1689659.79105555,1694413.83725633,1166046.83974092,1519636.87515813,1135475.75004986,863721.290884586,1044271.94216802,540265.68760804,1012972.82790813,425462.713770128,914832.030382593,960919.271588084,375990.322456075,937054.515354059,942550.70935082,766645.926440156,692279.665254176,638820.902774814,921929.911896768,829903.456088046
"35","sll0088",486997.993688,450058.333874,375973.720832,434739.653732,398434.312267,399077.659644,248488.206401,148318.689241,556065.024334,444071.063846,511275.927926,370358.085267,572109.782168,380987.216588,488751.926368,498022.378825,243009.901763,139256.429053,323825.234133,166900.290773
"36","sll0098",337867.193723,561654.051298,355099.258976,430681.688815,380146.696175,254653.37312,259667.8370906,290945.394848,268149.857495,417111.079697,424374.977917,407155.462639,387897.624812,471287.499712,406864.205923,463507.586476,182660.8773444,395156.095317,594597.658106,292035.698961
"37","sll0102",1235451.84945,790957.796383,580959.8561201,351600.5782422,431930.687635,714097.806607,656159.675246,464885.728248,644547.654169,934747.19141,767423.367943,1192614.421582,497597.423463,1084597.084732,529433.127847,781091.043889,1008226.333816,499143.05341,1149436.22479,1047498.439882
"38","sll0136",360537.178025,764314.835097,706440.26655,795187.740554,931008.578661,839613.180342,854894.213843,867297.62261,1237238.05101,1165562.28747,1150556.9189,1201195.17704,1079665.41351,1145736.54833,1102771.5263,1116842.92166,1188441.87161,835656.47806,1038835.81208,920857.083794
"39","sll0141",95291.7026015,103927.226831,103059.647103,156312.544907,106322.060925,100878.845401,68429.8187999,190460.210873,136047.61709,123131.640482,75122.7390875,126851.032722,94788.0800539,118689.0175,151617.460113,64153.7253596,190161.588206,328044.673164,189405.989703,398374.852065
"40","sll0144",3545884.03131833,5654155.69570059,2439646.98631728,4734323.80361321,4461653.7348086,4361900.11871571,3287432.6858891,682693.957888966,1047183.3872895,6153234.93684016,7521916.2652262,6369653.31446421,1540526.50393166,6432626.90055222,5940990.92443279,6880352.12730989,1674614.81952497,2232835.55166536,4142406.02495464,3047516.81088897
"41","sll0145",13049663.6028859,14659643.5027027,12623018.4593763,13611714.0380384,12431251.5410262,11470394.3372846,10464794.6754799,374603.824846776,16181098.7353002,13644191.4657605,16181814.8382413,14071221.5532412,18956525.1278823,16740916.0690395,16708978.6906928,18162840.707126,23725086.4842083,23584070.5915359,13422488.311574,24219558.8228925
"42","sll0147",236805.287430593,571275.270110584,795339.459359359,626759.409484895,518027.627506021,279327.809758867,534642.616934684,488335.543521561,813167.588613288,831022.810440853,434834.133421618,698350.184570378,379525.264757296,710560.388714869,798771.193729448,710705.360372109,533343.656684391,864992.421761609,1001097.15181818,661683.66165006
"43","sll0148",1110603.6754,1050497.46282,491704.001917,391512.053685,376508.55372,97449.3303809,99276.9517447,344974.244279,670119.485776,255625.296654,266740.82369,279180.365475,343450.141934,182821.636255,176294.313109,281027.209109,56862.7990136,206739.633093,157291.904564,105941.530912
"44","sll0149",2316471.90088,4774430.06365,5325905.3231,4331998.05355,2150850.61658,4735727.64741,1404667.76804,4278787.69462,1657646.5165,1128518.49071,2175077.01166,892836.034593,2270605.64883,750977.755694,946260.018728,1110322.17807,485449.033448,488037.502039,656053.392525,443750.502763
"45","sll0154",976424.923386,918518.250525,624898.827542,573842.435545,678834.86725,541446.279001,684094.424345,560810.440868,886898.079758,1140219.04729,801099.537172,1399855.63544,806173.058342,1470642.1298,848455.406599,1177649.30116,2122080.36545,1572906.52015,267673.511687,1361236.37518
