,protein,X60,X100,X200,X300,X1000,Localization
292,sll0860,536082.,1091601,1618223,2059187,2535674,Cytoplasmic
293,sll0753,2517624,2464042,1106451,789153.,387731.,Cytoplasmic
294,sll0588,6001187,5073695,807533.,680539.,695326.,Unknown
295,slr0809,359146.,239847.,1044196,941350.,1145497,Cytoplasmic
296,sll0480,9293765,1061257,6999397,8629480,2468359,Cytoplasmic
297,sll1327,8166916,1244794,1410228,2386743,2091990,Unknown
298,sll1799,6167359,6116116,1864418,2021961,1453302,Cytoplasmic
299,sll0036,172079.,168471.,363660.,328033.,333708.,Cytoplasmic
300,slr0635,107861.,718959.,682411.,809149.,233564.,Cytoplasmic
301,ssl3044,146317.,161027.,282866.,190400.,561390.,Unknown
302,slr0426,2485307,1998844,892048.,594150.,319182.,Cytoplasmic
303,sll1336,5598600,5130246,7961408,9438219,1230749,Cytoplasmic
304,slr0194,1260332,1320008,1704219,1983655,2236903,Cytoplasmic
305,slr0662,224592.,369791.,1544522,876544.,1615733,Unknown
306,slr1844,395317.,378378.,633050.,688641.,784626.,Cytoplasmic
307,sll0616,2714901,2503013,6702408,4852418,5314117,Cytoplasmic
308,sll0535,890062.,753077.,2649214,2281139,4086587,Cytoplasmic
309,sll2001,3267957,3093428,3373302,2252654,1634634,Cytoplasmic
310,sll0446,1119949,7184076,2325902,1827345,449071.,Unknown
311,slr2051,3140975,4965644,7167541,4798097,2922495,CytoplasmicMembrane
312,slr0213,3148605,3023455,6259244,5885446,7589083,Cytoplasmic
313,sll0708,476054.,438208.,955788.,793433.,1390569,Cytoplasmic
314,sll1261,2938548,3318453,2667550,2554850,1645989,Cytoplasmic
315,slr1557,780033.,635735.,648582.,631376.,273005.,Cytoplasmic
316,sll1151,446074.,347980.,910753.,624260.,1140343,CytoplasmicMembrane
317,slr0374,849526.,602914.,422678.,253247.,245534.,CytoplasmicMembrane
318,sll1033,1046715,1182794,2646840,2303002,3248946,Cytoplasmic
319,slr0479,103132.,144454.,620924.,367975.,819071.,Unknown
320,sll0258,1193180,1504054,8590532,6373508,2796901,CytoplasmicMembrane
321,sll1772,414036.,364434.,551990.,709153.,1051425,Cytoplasmic
322,slr0304,142380.,113058.,263085.,320402.,473207.,Cytoplasmic
323,sll1427,643562.,1029894,1128392,1130995,891540.,Periplasmic
324,slr1501,3034634,2736529,1328478,3960744,9145490,Cytoplasmic
325,sll0271,4474527,4472930,3123585,2799241,2354062,Cytoplasmic
326,sll0080,6197754,4757921,3842130,2773850,1394860,Cytoplasmic
327,sll1173,477054.,384635.,1751760,1492225,1899968,Cytoplasmic
328,slr0638,2571277,2639277,4657179,4384581,5339997,Cytoplasmic
329,sll0038,1032672,775644.,2398184,2137772,4026319,Cytoplasmic
330,slr0009,1907643,1817632,2459669,2505022,3500114,Cytoplasmic
331,slr1811,525703.,557890.,161294.,107039.,163756.,Cytoplasmic
332,slr0769,3473053,4834407,2663280,1640581,917608.,CytoplasmicMembrane
333,sll1356,2999533,1745221,2002506,1475489,1571666,Cytoplasmic
334,slr0076,896880.,392754.,1337099,1731626,1361709,Unknown
335,sll1294,2751408,2457298,2496820,2261733,1124736,CytoplasmicMembrane
336,sll1058,804768.,685101.,146866.,250079.,152510.,Cytoplasmic
337,slr0523,614813.,997693.,1805636,1610376,1754981,Cytoplasmic
338,sll0554,316592.,393634.,369526.,331674.,165263.,Unknown
339,slr1541,3501152,2032542,511886.,773913.,268002.,Cytoplasmic
340,slr1793,1161503,1030471,4571807,3924471,4069924,Cytoplasmic
341,sll1340,271385.,262391.,390559.,556647.,640073.,Unknown
342,sll0781,5276346,4149268,3500030,3760235,2943471,Cytoplasmic
343,slr1710,148392.,101806.,141892.,157981.,300044.,CytoplasmicMembrane
344,sll1530,2519549,1417480,4046754,4102495,4533413,Cytoplasmic
345,sll1568,237165.,334330.,600320.,518731.,478437.,Cytoplasmic
346,slr1702,1839757,1860265,2681952,2720825,4594577,Cytoplasmic
347,slr0209,3875421,1026598,1207145,1363552,4009538,Cytoplasmic
348,slr0677,2350451,2145084,2133992,1835401,1007601,CytoplasmicMembrane
349,sll0379,1195746,987023.,1552615,1404057,793180.,Cytoplasmic
350,slr0172,1026224,9679710,1427583,1752960,1986130,Cytoplasmic
351,sll1178,514573.,301025.,1261263,880470.,748386.,Cytoplasmic
352,sll1239,1601197,1210461,1045409,718172.,672477.,Cytoplasmic
353,slr1678,2253128,3020400,1358543,1046643,744384.,Cytoplasmic
354,slr0156,6357237,5682726,8147103,7978826,5942047,Cytoplasmic
355,slr0937,957699.,1343509,2055143,2349155,2949549,Unknown
356,slr1397,1833799,1511970,1687481,1597089,758583.,Cytoplasmic
357,slr1517,8311110,7103666,4904775,4606386,2673843,Cytoplasmic
358,sll1920,509013.,451509.,352265.,232815.,253023.,CytoplasmicMembrane
359,slr0444,2252226,2261151,2771261,2851252,3576650,Cytoplasmic
360,sll1323,1940362,1682972,3071510,2604827,4039900,Unknown
361,slr0287,1495595,1576093,1206665,1986009,4084766,Unknown
362,sll1370,2307036,1923520,2883941,4025336,4149026,Unknown
363,ssl2245,988663.,966246.,4044579,3344612,3791192,Unknown
364,slr1719,9775787,1057912,2480601,2693400,2083879,Cytoplasmic
365,slr1720,5080354,4792374,8718293,8292020,6768458,Cytoplasmic
366,slr0257,653800.,751972.,2765344,4213198,3143179,CytoplasmicMembrane
367,slr0943,2241929,1879089,1782947,1368365,2306673,Unknown
368,sll1693,2084026,1246116,1152343,1030556,817147.,Cytoplasmic
369,slr1177,1030493,670293.,1078248,1114286,1565964,CytoplasmicMembrane
370,slr0417,3698396,3230407,5260655,5642168,7289064,Cytoplasmic
371,sll0928,5710075,4135553,3098265,2556195,1487913,Unknown
372,ssr1698,214803.,202531.,1135669,874443.,933596.,Unknown
373,slr0650,1284158,1411132,2531349,2182060,1421534,Cytoplasmic
374,slr1560,1500394,1080550,1851605,1700151,2923556,Cytoplasmic
375,slr2034,5703198,4462224,5313951,7003724,9555644,Unknown
376,slr0404,1223178,527890.,463728.,253521.,91446.7,CytoplasmicMembrane
377,slr1600,3511780,5090309,1052525,1117687,6324565,Cytoplasmic
378,slr0244,4209493,3514556,1499321,1434117,1261414,Cytoplasmic
379,sll0886,2170581,2001817,1603165,1325227,823836.,CytoplasmicMembrane
380,sll0414,3889507,3071995,2352460,2268607,1918912,Extracellular
381,slr0228,3071865,3102484,6223185,5645158,8581817,CytoplasmicMembrane
382,slr1463,1457583,1331259,3555084,2765491,3437106,Cytoplasmic
383,slr0072,114682.,198105.,250905.,169145.,143238.,Cytoplasmic
384,slr0676,6085183,5706674,2073024,2927728,917544.,Cytoplasmic
385,sll0915,5052849,3219242,3537301,6200529,9031067,Unknown
386,sll1821,3714650,3706775,1931281,1639093,7444465,Cytoplasmic
387,slr0376,935675.,425699.,252719.,149998.,154239.,Unknown
388,ssr1604,1038843,7855620,6337924,5906706,910418.,Cytoplasmic
389,slr0950,2019333,2117457,2061573,1871274,1040963,Cytoplasmic
390,sll0149,4553214,3214819,1393082,1028291,486743.,Cytoplasmic
391,sll1213,5433803,5217616,2848474,3468996,2725775,Cytoplasmic
392,slr0357,496721.,626243.,1209818,562466.,723197.,Cytoplasmic
393,slr0774,1407341,1354606,2724145,2080413,2667709,CytoplasmicMembrane
394,sll0058,1989506,2039460,4006833,4278984,3732552,Cytoplasmic
395,slr0342,1256996,2336781,4711669,3268642,8044088,CytoplasmicMembrane
396,slr0073,1724873,1266899,893076.,827381.,894502.,Cytoplasmic
397,sll0019,4147660,2933441,5127688,4943887,6437300,Cytoplasmic
398,sll0051,2261991,1475415,6965660,1008934,6386724,Cytoplasmic
399,slr1618,2538622,1900177,1849512,1924639,1191618,Unknown
400,slr1645,1976778,1427380,3942001,2676912,662454.,Unknown
401,sll0224,4929088,5732311,7605218,1058455,1269571,Periplasmic
402,slr1550,1378277,1228879,3467547,2749473,3889781,Cytoplasmic
403,sll1577,2469381,3530307,5137211,3856885,1491362,Unknown
404,sll0195,119023.,130731.,319167.,287044.,244810.,Cytoplasmic
405,slr0597,4392138,3183633,1582789,1625196,1064250,Cytoplasmic
406,sll0635,260713.,35113.5,576202.,398186.,493815.,Cytoplasmic
407,slr1756,4962538,3335405,6949841,5993181,6328761,Cytoplasmic
408,slr1867,827401.,806542.,210396.,119308.,146137.,Cytoplasmic
409,sll1809,7580894,7637023,2426313,1320564,1007026,Cytoplasmic
