,protein,X60,X100,X200,X300,X1000
567,sll1956,165866.,174744.,513523.,329179.,543979.
568,sll1580,9302235,8670213,9353428,7524699,5521487
569,sll0680,855379.,1041475,2963303,2933981,1836994
570,slr5073,920387.,662330.,472665.,1714526,2950580
571,ssl3445,92127.2,186336.,260662.,285199.,413828.
572,sll1818,2278786,2081466,1108565,1314426,6404545
573,sll1669,331892.,678544.,1027035,1481214,1584102
574,sll0572,226290.,117044.,111279.,104331.,112229.
575,sll1135,1302171,906359.,659182.,549513.,158922.
576,sll0227,4257809,3129378,2980802,3182574,4419603
577,sll1667,2868192,2269728,4460660,3388070,2223870
578,sll0148,771100.,222125.,272960.,231924.,131616.
579,sll1214,1235599,1025120,1857288,1461035,1904399
580,slr1753,680674.,657576.,1468940,1197672,1080288
581,slr0971,342084.,296661.,312883.,380229.,506581.
582,slr1808,950976.,941807.,1602285,1473192,2052612
583,slr0458,228296.,133410.,234792.,277057.,251109.
584,sll0220,2037898,1501555,2614194,2020384,1628493
585,sll1596,369639.,285128.,321888.,156909.,934038.
586,slr0739,4752355,4516690,6425980,6530387,6639332
587,sll1950,737183.,622423.,1006816,903635.,1083338
588,sll0374,1338385,947925.,2279035,1566360,1724534
589,slr2002,2113509,2305775,4433543,3711739,3736271
590,slr1734,1172808,8454421,7086683,7392717,7165134
591,slr0609,1782030,2217953,1592213,1318610,673705.
592,ssl0258,584726.,547130.,399693.,408576.,240047.
593,sll5052,76039.6,60317.6,123817.,117919.,170364.
594,slr0634,2047897,1564810,1048916,1114280,694847.
595,slr0165,2409498,2246540,5269003,4094275,6539156
596,slr0380,1658482,1176417,971833.,771682.,768868.
597,slr1919,119375.,116293.,225421.,233461.,299860.
598,sll0202,108871.,236271.,330594.,366023.,392783.
599,slr1677,279519.,167547.,290803.,250152.,488101.
600,slr0549,676794.,1254784,432299.,240197.,296831.
601,sll1958,1563708,1091249,1203791,1152115,1582387
602,slr1020,5198273,6948194,4053412,2848785,1536813
603,slr1056,307868.,135154.,228871.,224601.,207767.
604,sll1283,1060896,1554639,2389893,2234059,1238647
605,slr1476,1440181,1204040,2062218,1324265,1517835
606,ssl0601,1477789,1799773,1364960,1313402,9683068
607,slr1944,9155220,6353369,5105771,4474544,2636244
608,slr1116,1832588,1343138,1144053,1159341,1347698
609,slr0746,1050549,735407.,997595.,632089.,519285.
610,sll1296,149897.,184810.,316634.,288806.,464623.
611,sll1456,4029115,3870336,5084743,4280062,6193150
612,slr1679,665363.,571670.,867440.,677813.,697529.
613,sll0413,177151.,138186.,619546.,417985.,582376.
614,sll1879,1117886,1862853,1869674,2362754,2987364
615,sll1665,636747.,397272.,2670344,2152621,1439695
616,slr0387,191145.,108884.,240758.,183841.,128983.
617,slr1603,166997.,154806.,159709.,177261.,455582.
618,slr0250,1168195,949501.,1793298,1425968,525035.
619,sll0254,728558.,657046.,1174635,1376549,1751352
620,sll1172,4700881,4930538,7795917,7887750,4435378
621,slr0559,1715059,1231767,1228288,858649.,586267.
622,slr0164,503952.,501103.,1791834,2200243,6923876
623,slr1238,617170.,670840.,1569022,964811.,957114.
624,sll0518,691411.,461964.,1166474,1236032,1361096
625,sll1810,2119873,2248066,1874651,2891561,3457816
626,sll1745,1558021,1634905,3778265,5253146,1243530
627,sll1455,1089982,1082199,1995707,1707749,2314706
628,sll1594,1022258,1320292,1163070,1420946,560645.
629,slr1459,4231542,6362731,1383637,998046.,1246693
630,slr0816,568575.,191721.,207891.,297377.,312311.
631,slr2123,1357362,1021667,1126451,1055386,923073.
632,slr0983,383992.,292562.,484939.,445363.,510822.
633,sll0821,198701.,325429.,359993.,428377.,624436.
634,sll1085,155725.,104405.,168708.,114912.,251983.
635,slr1273,9074474,1135665,7112811,3053377,4075750
636,slr1353,1598637,1321870,868219.,574395.,180907.
637,slr0835,2514537,2218721,2523254,3091634,3718563
638,slr1884,832905.,1406212,514833.,575905.,717169.
639,sll0520,2118359,3127899,3982844,4210979,6914528
640,sll1434,831583.,1021070,1801774,2126205,2615508
