,protein,X60,X100,X200,X300,X1000
940,ssr2998,1031995,1038844,7734740,3531174,1212691
941,sll1367,973666.,537789.,874090.,759461.,820651.
942,sll0810,3811344,3980726,866008.,2881282,2499003
943,slr0907,5054086,4394538,5918618,4422289,6898384
944,slr0787,63524.4,65687.6,88826.6,73530.5,132057.
945,sll0945,3806549,3976736,6994038,7214879,6398833
946,sll1538,609708.,413773.,710368.,549720.,638227.
947,sll0923,1851110,1202008,1693185,1484170,1749147
948,sll0209,461663.,548882.,166701.,187270.,202914.
949,sll5034,569090.,944725.,680763.,789730.,442170.
950,slr1411,514211.,425524.,523005.,436483.,559761.
951,sll0501,320485.,329489.,325088.,301793.,469897.
952,slr0406,173811.,309187.,184847.,172391.,243421.
953,ssl1762,1533001,1665418,1572260,1204261,1694583
954,ssr2551,2911564,1838026,1348214,1073310,2775193
955,sll0736,248015.,328460.,195715.,230375.,151140.
956,sll1028,9457934,1915292,7841956,7822310,6778672
957,sll1612,386659.,360445.,456868.,385657.,470475.
958,sll1894,675896.,453750.,383176.,439218.,540357.
959,slr1409,1874204,2970588,1408068,1478196,1790423
960,sll1816,619242.,1021393,176983.,261921.,119547.
961,slr0922,692169.,456677.,722700.,736163.,1017951
962,sll1508,1728543,1327378,1644179,1464498,1487946
963,slr0369,2661273,1881113,2423568,1858141,2112138
964,slr1692,189581.,157668.,306595.,214498.,151096.
965,slr1958,2616429,1818479,1776874,1593715,2020449
966,sll0487,1127118,1196424,1896115,1753647,1503161
967,slr1727,1142043,1169134,1476955,1304837,2080541
968,slr1224,5902666,4705256,8103826,3979783,3389676
969,sll0507,229360.,301710.,487477.,363597.,350791.
970,sll1775,1194081,1701261,3102261,2817510,1405678
971,sll0569,1153826,814256.,1374576,1016527,1840792
972,slr1780,2609648,2289348,1562329,3082168,3455919
973,slr2070,603993.,1369293,598795.,609417.,753264.
974,slr5118,6264023,6185796,7334628,1166951,4931063
975,slr1777,160085.,375496.,182899.,178246.,499815.
976,sll5080,1471187,1201502,1223276,1090182,1002690
977,sll1423,615733.,639882.,342558.,544072.,197912.
978,sll1521,756154.,735430.,576171.,481060.,456396.
979,slr0148,1101108,1446002,1084015,1072365,2069886
980,slr1857,515181.,562140.,1311145,1612965,1509316
981,slr0536,7018559,6732519,4186956,4650918,1737477
982,sll1241,381226.,208037.,508284.,561364.,519031.
983,sll1432,128783.,84559.8,252593.,121092.,121790.
984,slr1800,394449.,306762.,1060145,1484679,1431891
985,sll1559,3596051,3454671,2540805,3547110,2197392
986,sll0752,279015.,589006.,515518.,549445.,690550.
987,sll0006,3426242,2398273,2576816,1676476,2622521
988,slr1173,272710.,271676.,479399.,382329.,190430.
989,sll1620,6120602,6634679,2458329,5091031,2651723
990,slr0451,208435.,147382.,130060.,150977.,202543.
991,sll0359,2207157,2908684,909170.,1372605,1344564
992,sll0154,771708.,619822.,1013558,1013052,1467071
993,slr0457,551689.,549584.,618211.,416553.,373808.
994,slr1274,6820575,4038428,3279994,3005113,3956091
995,slr7012,341173.,295846.,414461.,276670.,173985.
996,slr0839,1689042,1088643,1820640,1303376,1702867
997,slr0520,1944685,1158001,1350941,386653.,1593962
998,ssl2384,2904699,2381632,3251000,2635468,1119022
999,slr0600,5435844,4398053,3944403,4519984,5511105
1000,sll0455,1479731,1507985,1786217,1527836,1788205
1001,slr1312,1812167,1716668,2423292,1206932,1396217
1002,sll0631,590985.,353986.,499978.,406163.,654618.
1003,sll1636,160889.,237295.,479340.,309925.,460407.
1004,sll1418,5118206,4690649,5079201,4174165,5196000
1005,slr0877,3047072,3245705,2221420,1759646,2739375
1006,slr1377,2296010,1789166,2670348,2502924,1799329
1007,sll0638,913344.,212936.,998516.,846912.,477355.
1008,slr1044,401013.,198933.,372163.,291647.,294984.
1009,sll1900,318366.,136728.,253543.,259832.,292969.
1010,slr0844,3235830,2734078,2472054,2763207,3642427
1011,sll0456,270630.,320105.,517625.,309248.,312391.
1012,slr1418,299300.,182009.,391224.,525942.,572681.
1013,sll0205,174723.,173659.,88665.3,85562.5,275508.
1014,slr1218,941411.,874457.,1205931,1168649,841066.
1015,sll0947,377195.,297626.,566104.,285662.,289698.
1016,slr1194,2534395,1931663,2242964,1893728,1918036
1017,sll1424,684533.,2399554,2355282,5985782,2192199
1018,sll1005,250690.,229798.,280316.,304392.,297496.
1019,sll1186,74442.7,181815.,342898.,299024.,359179.
1020,slr0611,2724502,2566393,3160001,1374949,1480379
1021,slr1993,470151.,531488.,1033370,887246.,715822.
1022,sll0837,1212654,1291023,1369019,1513117,1626436
1023,sll0873,760807.,845091.,605495.,439912.,409135.
1024,slr1510,2369642,1911398,2474983,2406336,2179367
1025,slr6095,994431.,441151.,654738.,781162.,740507.
1026,sll1109,4740325,4596706,3309748,4014053,5437416
1027,sll1673,502673.,301490.,479076.,420355.,396357.
1028,slr5088,211254.,181717.,158729.,113411.,210552.
1029,slr0771,455659.,299352.,529138.,593507.,655400.
1030,slr7013,282139.,261910.,206485.,153661.,239154.
1031,slr0586,858579.,751451.,747770.,1156268,187875.
1032,sll1308,209581.,487019.,812898.,684721.,506774.
1033,slr1208,1457666,1046086,1122560,953897.,808305.
1034,slr1644,201671.,453259.,193209.,345372.,531428.
1035,sll0602,1669592,1216788,1620102,1428593,1838561
1036,sll0461,1090330,854869.,1586022,1160090,1389044
1037,slr0267,168870.,169559.,233737.,232618.,139406.
1038,slr0333,1416863,1670739,1186514,1529541,898508.
1039,slr1853,1954695,1897529,2219199,1961122,1765075
1040,slr0211,139332.,98420.0,186506.,140545.,134584.
1041,sll0335,1774541,1147728,1946589,1562345,1309159
1042,sll0260,102104.,150767.,97805.7,80464.3,160494.
1043,sll1830,5075615,5089144,4756232,3480307,3480271
1044,slr0795,198870.,147058.,333797.,252431.,167132.
1045,slr0074,486882.,980038.,454013.,582273.,749262.
1046,sll0322,125481.,168962.,180826.,89315.7,279077.
1047,sll1023,323570.,682257.,484984.,396783.,415506.
1048,sll0068,320976.,265143.,392319.,273068.,345283.
1049,sll0767,3061994,7151131,2608189,2885009,8947823
1050,slr1830,292038.,280150.,157404.,228027.,571318.
1051,slr1516,8069869,2200649,4973217,6110625,1312677
1052,slr0842,160933.,207813.,283226.,145371.,178317.
1053,sll0147,599017.,503181.,755758.,710632.,763338.
1054,sll1542,1059970,793639.,1137845,811528.,1113104
1055,slr9101,439138.,363408.,432566.,356267.,269732.
1056,slr0008,387674.,1003529,259025.,304150.,313600.
1057,sll1498,2122761,1633591,2048292,2185877,3342568
1058,slr1609,1424380,1494905,1068898,1024640,1529814
1059,slr0755,2018388,1534468,1732494,1805138,2035045
1060,sll0807,7080810,6658589,7532381,7912338,8672761
1061,slr0181,107639.,124426.,140635.,141131.,177571.
1062,slr1924,1134846,874630.,866627.,932871.,440438.
1063,sll0911,1569653,1133707,1164599,1185664,1497041
1064,sll0877,581411.,418179.,375872.,330192.,391085.
1065,slr0149,779720.,728302.,1229221,505633.,731700.
1066,slr0902,1025358,938908.,901089.,951376.,1243731
1067,sll0320,7689366,5417622,6589819,9752642,973695.
1068,sll1218,399902.,810612.,276343.,222965.,548957.
1069,sll1848,101130.,175792.,136325.,113717.,229865.
1070,ssl2595,173272.,246976.,113306.,68832.2,204528.
1071,slr0871,628996.,505997.,200833.,240739.,177656.
1072,sll1676,291847.,459600.,365582.,337560.,622220.
1073,sll1330,61843.4,104724.,80485.3,104063.,210468.
1074,slr1537,1219912,745734.,1506502,1323459,1200273
1075,slr1495,237826.,130474.,225384.,192204.,391313.
1076,slr0583,1520454,1962820,1016330,1145377,1097059
1077,sll0069,1839360,1293132,1225788,1022447,988594.
1078,slr1424,698499.,278173.,996083.,801370.,665220.
1079,slr0300,139311.,303368.,417021.,752585.,887053.
1080,sll1491,2270243,2204403,1736621,2079420,1525803
1081,slr1938,835373.,947883.,457150.,405447.,227192.
1082,sll0723,297711.,292383.,710514.,577939.,257277.
1083,ssr0693,538954.,814102.,483562.,526664.,192328.
1084,sll1635,318513.,221510.,186841.,198138.,256290.
1085,sll0158,7837441,6717549,9155824,7641295,8752561
1086,slr0502,465992.,452354.,562330.,480964.,597862.
1087,slr1067,7916660,9483670,2368084,2289507,2355775
1088,sll1902,274222.,378987.,176271.,262872.,199996.
1089,slr0707,921565.,805565.,1279219,1300323,1026664
1090,sll0891,2275663,1578709,2173724,2084917,2284571
1091,ssr9004,294542.,397245.,152932.,258716.,236569.
1092,slr0220,7638502,6256181,5885705,9006333,8525772
1093,sll1750,1089313,1222345,1103801,869535.,1330683
1094,ssl8008,1149153,990806.,538349.,499077.,525903.
1095,sll1222,481540.,303026.,395470.,351470.,224742.
1096,ssl0832,1795237,881259.,620457.,724943.,364743.
1097,slr1890,770274.,1483251,651838.,590571.,1611796
1098,sll1425,2868535,1613372,1992160,2024715,1190095
1099,sll1796,194391.,186989.,167724.,147835.,259765.
1100,sll0936,1230720,925320.,840712.,854975.,1115094
1101,slr1887,1195301,2599405,1505791,1650261,3758409
1102,slr0838,984406.,1385077,843493.,636378.,922325.
1103,slr0723,542999.,446250.,368545.,321882.,406531.
1104,slr1534,144567.,332673.,118967.,110766.,186713.
1105,sll1209,1255315,949210.,1051757,964605.,946090.
1106,slr1604,1401074,1253021,1158810,1407334,1056206
1107,slr1656,175247.,482351.,197621.,187041.,202380.
1108,slr0974,2301929,2558690,2492554,2565052,1610636
1109,slr1795,141498.,159114.,303880.,158694.,276970.
1110,sll1532,560249.,375192.,957135.,778541.,810367.
1111,slr0938,1278568,1102032,1529986,1068717,1180955
1112,sll0647,345662.,357197.,610011.,513965.,905497.
1113,sll1697,489001.,352551.,622319.,644824.,555074.
1114,slr5127,386963.,306072.,257514.,145865.,487227.
1115,slr0067,650047.,523452.,948272.,792648.,1281268
1116,slr1117,332965.,245191.,201502.,246900.,414892.
1117,sll0467,847602.,985837.,910282.,799572.,624872.
1118,slr0678,1272797,1437894,2795134,4089717,1765756
1119,slr1691,142396.,198867.,128617.,123786.,146385.
1120,sll0041,659570.,634861.,588746.,202502.,365850.
1121,sll0644,191765.,181842.,213957.,214557.,242462.
1122,sll0505,242347.,170296.,206575.,201331.,306604.
1123,sll0815,100710.,93110.7,196060.,144552.,242126.
1124,sll1805,2935423,6055307,2877906,3025173,2943655
1125,sll0199,1063496,4909064,687862.,921254.,930098.
1126,sll0226,321754.,949967.,217390.,499158.,317053.
1127,sll1784,1897460,2492258,2066085,1805871,1674932
1128,sll1911,224642.,248462.,291871.,254721.,484857.
1129,sll0502,669739.,685782.,770110.,487637.,845647.
1130,sll1253,182575.,169555.,152173.,145284.,85090.2
1131,sll1325,635169.,888626.,908208.,731268.,1584038
1132,sll1360,81675.7,80724.0,173206.,186744.,179775.
1133,slr1471,1902937,1528905,1895713,1777079,1755856
1134,sll1276,259319.,106237.,140960.,121644.,156985.
1135,slr1740,1206817,882627.,1423910,1114523,1153462
1136,slr1133,136040.,204928.,158587.,125006.,290752.
1137,slr0619,538793.,561681.,589173.,619147.,739126.
1138,ssr6048,387080.,288520.,621371.,629026.,365623.
1139,sll1537,3127431,2687466,2573365,2706070,3868772
1140,slr0115,1308453,1333964,1492395,1331165,1730907
1141,sll0263,350669.,217871.,550301.,437883.,243574.
1142,sll1841,1823993,2821154,917656.,1509289,2225206
1143,slr1236,1175264,1096330,1323889,1390667,977685.
1144,slr0954,211081.,237545.,218535.,169703.,333082.
1145,sll0144,4140103,3824666,6261444,6186808,2640176
1146,sll0601,1474073,995884.,1404165,1031914,884765.
1147,sll1817,6647109,7873868,8389663,9991747,6386087
1148,slr0929,1747506,1509561,1051220,1260882,929879.
1149,slr1434,2466444,1600023,3090545,3053916,2515219
1150,sll0578,1675944,2623023,3529599,2428364,2633149
1151,slr1271,313432.,364032.,370867.,351841.,448058.
1152,slr2048,525683.,606573.,806550.,969044.,690145.
1153,slr0021,351539.,363287.,394038.,325211.,223215.
1154,ssr3122,3679177,3514809,4139883,5534163,5538493
1155,sll0382,2100842,682100.,715597.,300950.,412162.
1156,ssl2084,2740351,3061576,2519779,2953730,2424044
1157,sll1546,524853.,502007.,623362.,618040.,616310.
1158,slr0969,514486.,456355.,431801.,408508.,425219.
1159,slr0590,383995.,270812.,423489.,407384.,376731.
1160,slr1590,5640748,4777342,5240273,5085408,3168349
1161,sll1714,489674.,821420.,557384.,699311.,693269.
1162,sll0640,379349.,439283.,478469.,389494.,456107.
1163,slr1090,385450.,288595.,280870.,221878.,289074.
1164,sll1396,238223.,216423.,154743.,201009.,112684.
1165,slr1324,211182.,200013.,196526.,214124.,145925.
1166,slr1623,2633620,2268273,2728645,3083733,3148680
1167,slr1301,2414333,1752810,2325005,2075603,2713568
1168,slr0594,227078.,123350.,181351.,109272.,200990.
1169,slr1852,3799242,4780547,6175276,4930041,5435394
1170,sll0996,458969.,312751.,439829.,372051.,572533.
1171,sll1398,5816668,6613602,7237711,7206236,5253405
1172,sll1762,7786253,8446244,9297854,8148576,7566842
1173,slr0001,6578929,6750647,4616679,4732809,5321540
1174,sll1484,770698.,596567.,817999.,628244.,874901.
1175,slr1302,884585.,706043.,994282.,568101.,965025.
1176,ssr2061,110343.,205878.,162274.,143952.,125722.
1177,sll0098,392890.,275306.,412133.,435185.,343595.
1178,slr0427,1617292,1233590,1355023,1392656,1158106
1179,sll1440,423720.,314982.,335319.,187057.,343506.
1180,slr0151,1342789,944806.,946048.,579864.,992724.
1181,slr1909,802984.,739377.,437512.,278994.,232337.
1182,sll0854,7312977,3714716,1882631,713412.,5279976
1183,slr0378,354067.,255735.,231161.,291465.,361104.
1184,slr0242,534561.,775820.,496346.,470168.,465286.
1185,slr1521,183603.,299280.,122706.,356893.,564768.
1186,sll0102,685958.,560522.,851085.,655262.,1027862
1187,sll1638,4434391,3993062,4382426,3809515,4511554
1188,slr1243,508879.,579093.,642827.,413456.,795198.
1189,sll0037,171855.,164607.,269113.,263143.,198685.
1190,sll0410,202022.,187396.,251726.,195331.,212407.
1191,slr0033,5527246,4553583,4368260,5476918,5064028
1192,slr0727,91449.3,62042.7,60567.6,51003.4,75428.6
1193,slr1139,7678855,7390856,7368721,7255999,4347241
1194,slr1773,145986.,102631.,125407.,103481.,190577.
1195,slr1263,801552.,913781.,888785.,1083871,1668638
1196,slr1087,212098.,216443.,156549.,133519.,161433.
1197,slr0354,113718.,219977.,155100.,137905.,171804.
1198,sll0838,999775.,796835.,871775.,827308.,777056.
1199,slr7061,591643.,363696.,484105.,405838.,383100.
1200,sll1284,447054.,524790.,549023.,440028.,827660.
1201,sll1744,7237928,1137653,6329170,8179846,8309571
1202,ssr5009,701395.,837131.,990336.,1107699,1449394
1203,sll0183,329585.,324307.,324410.,279951.,256024.
1204,slr0825,512559.,180872.,197467.,121838.,554822.
1205,slr1416,1988730,1832171,1827212,1662253,1556787
1206,slr1254,6956129,2371154,7542896,6336491,5168526
1207,slr0952,223510.,403131.,349532.,278199.,460858.
1208,slr2103,125510.,181462.,164400.,151934.,194722.
1209,sll1098,720916.,1268330,698195.,661740.,1143868
1210,slr0699,1870463,1203475,1402642,2043519,1541074
1211,slr0186,1143836,1104981,1687732,1290199,1715871
1212,slr0015,2073467,1956413,1873094,1430711,1691506
1213,slr2018,475368.,604396.,437206.,387777.,514135.
1214,slr2053,417706.,551808.,953537.,575303.,881983.
1215,sll1501,107545.,90232.5,188972.,142554.,185330.
1216,sll1981,2905887,2490411,3113008,1729444,2680706
1217,slr0883,267330.,288861.,303253.,271683.,231839.
1218,slr0216,513307.,409811.,469770.,444575.,510615.
1219,sll0603,245203.,232718.,171320.,184397.,224572.
1220,slr0070,549676.,310322.,533618.,486897.,524545.
1221,slr0325,178011.,199716.,155604.,106853.,182499.
1222,sll0377,459017.,366260.,559030.,462137.,590186.
1223,sll1634,523503.,490145.,621777.,528960.,524680.
1224,sll1739,219736.,189850.,179231.,165523.,372740.
1225,sll1205,105558.,159009.,350238.,245719.,337151.
1226,slr1706,206910.,173851.,149705.,117658.,195946.
1227,ssr1114,771667.,647376.,555583.,770953.,940695.
1228,slr0591,7243450,6173634,3181497,7320902,5964920
1229,slr1694,353275.,835080.,221944.,443746.,652300.
1230,sll1129,112455.,178556.,162443.,136437.,161050.
1231,slr1639,277105.,243575.,347023.,377461.,221254.
1232,ssl3580,73320.9,101747.,59045.6,67190.6,141479.
1233,slr1507,1037701,1302604,855462.,1147280,891857.
1234,sll2015,223711.,279719.,255703.,395892.,135533.
1235,sll5033,1220021,1217240,888828.,1205879,1043793
1236,slr2144,1006048,1046450,9875546,9901963,9505904
1237,sll1059,3272217,2429119,2606296,2710401,1973046
1238,sll0002,170050.,126441.,105575.,176549.,189717.
1239,sll0737,168370.,109416.,127130.,122524.,159453.
1240,sll1322,2720554,2303283,1774237,1465777,2150948
1241,slr0018,171008.,137159.,365420.,152069.,282880.
1242,slr0051,1792340,1498772,1289087,1159194,1020591
1243,sll1563,152424.,166187.,184494.,101826.,123719.
1244,slr0162,556888.,478545.,298633.,268655.,394136.
1245,sll1470,1131070,956685.,1089128,941136.,785226.
1246,sll1273,6417434,2181197,392546.,343194.,831443.
1247,slr0099,130169.,209659.,365409.,189966.,88588.1
1248,slr0454,67347.2,83351.0,82399.5,89130.3,166472.
1249,sll1527,268978.,389140.,539513.,447970.,491804.
1250,slr0400,417806.,344132.,419672.,301918.,329336.
1251,slr0483,1126456,8377990,7749364,8619894,2274975
1252,sll0182,454867.,494597.,499055.,435900.,633885.
1253,sll1062,721239.,797570.,262442.,341381.,312569.
1254,slr1251,2154152,2293148,2323829,2563110,1879321
1255,slr0229,735612.,805864.,590918.,504443.,487671.
1256,ssl2233,3256603,3198284,3556432,3677477,3257486
1257,slr1395,661051.,501569.,595434.,472082.,595329.
1258,slr0120,126636.,128100.,194658.,190973.,130304.
1259,sll0067,2811107,2213461,2903612,2620902,3066747
1260,slr1228,2612986,2383888,1668509,1346855,1188615
1261,slr0623,5194736,5622440,5964885,6571927,5661398
1262,slr0710,254142.,172507.,313395.,245934.,143944.
1263,sll0943,155134.,130791.,164186.,141508.,109469.
1264,sll1592,302445.,318118.,424711.,384196.,342038.
1265,slr0291,179162.,221913.,302313.,361251.,149327.
1266,sll0274,145423.,122328.,107181.,111860.,153982.
1267,slr0863,520774.,444573.,506592.,538132.,574314.
1268,slr1697,514259.,525443.,447659.,426354.,408440.
1269,slr2111,185429.,145826.,163616.,156485.,302123.
1270,slr1213,147442.,160671.,231438.,146143.,99663.2
1271,sll0898,89399.8,158609.,114848.,75108.1,54769.3
1272,slr2081,261700.,220129.,266516.,218588.,216354.
1273,slr1205,7453251,6317775,7365706,8163727,7179592
1274,slr1051,1395971,715494.,1167165,1278989,1156315
1275,sll1369,455820.,451220.,386440.,432246.,390081.
1276,slr1124,2575025,2860621,2704209,2610324,2356676
1277,slr1334,341665.,331996.,228740.,314683.,280804.
1278,slr1098,218036.,532539.,330919.,272641.,566964.
1279,sll1217,1042961,884544.,1020473,938156.,895930.
1280,slr1746,333937.,129282.,209412.,115021.,156432.
1281,slr2015,420484.,477869.,425628.,396738.,482027.
1282,sll0053,1309351,1084602,1431073,1190694,1570582
1283,slr5012,77809.4,106774.,88736.9,111523.,102631.
1284,sll5035,304800.,264924.,299806.,389852.,207693.
1285,sll0630,1093220,841751.,875375.,806815.,753552.
1286,slr0640,102144.,106246.,134852.,126925.,79417.4
1287,slr1493,334272.,305152.,470653.,696836.,308093.
1288,sll1400,173861.,241493.,154575.,80009.6,245384.
1289,ssr1399,1049509,1905447,1716015,1092131,1580655
1290,sll1815,1006592,1168048,1024374,1191348,1487064
1291,slr0708,737562.,712598.,782694.,946280.,434800.
1292,sll1433,230099.,150731.,136574.,137871.,116811.
1293,slr1102,223469.,250948.,405702.,394297.,233731.
1294,sll0415,1181911,648911.,463875.,754675.,727776.
1295,slr0086,399441.,426331.,315555.,316133.,457653.
1296,slr0251,249636.,360861.,168663.,169370.,199654.
1297,slr1212,171252.,210125.,258543.,274429.,222935.
1298,sll1694,1522122,846585.,769170.,644819.,1292119
1299,slr2035,197029.,212745.,260732.,254639.,160017.
1300,sll1961,1833266,990223.,1170743,1210612,1679447
1301,slr1066,1564423,1509733,1400778,1464433,1841242
1302,slr1063,412868.,286095.,290146.,437704.,498453.
1303,slr1657,1270322,1050959,1325628,863890.,916385.
1304,slr0023,1155416,1275409,1576014,1125352,1517770
1305,slr1235,186656.,217574.,214761.,220763.,191847.
1306,sll0925,386630.,275364.,410608.,428463.,492606.
1307,sll5048,103596.,229582.,107647.,84204.3,130704.
1308,sll1776,145469.,215783.,174516.,256125.,154709.
1309,sll0509,424872.,322882.,336609.,296393.,357517.
1310,slr1275,1414853,1050826,1084799,1214577,654025.
1311,slr1648,1011180,889335.,1082925,1043893,817544.
1312,slr1791,2886816,2941591,3500481,3188240,2693774
1313,slr1276,2560070,2279520,2000916,2299303,2256398
1314,slr1979,150465.,238750.,132821.,157452.,261516.
1315,slr0864,308348.,383330.,401377.,448001.,283505.
1316,slr0981,50737.3,82965.8,55990.5,81536.4,72097.3
1317,sll0184,155993.,148330.,126335.,120319.,205939.
1318,sll0244,496437.,756476.,722047.,505890.,316116.
1319,sll1785,9904326,7787265,8903930,7914199,6231789
1320,sll0398,105605.,79770.3,88880.7,86527.4,70397.3
1321,sll1633,2833226,3559275,2112233,2267253,1950070
1322,sll0459,218351.,186166.,275128.,315276.,225633.
1323,slr0111,2708693,2612431,2838226,2639173,2253465
1324,sll0172,7606420,7512567,6931047,6615419,6822793
1325,sll0565,315130.,253847.,289230.,257072.,219699.
1326,slr1256,825116.,1677244,757494.,1094977,808427.
1327,slr1349,4905238,4110916,4490796,5689598,5132510
1328,sll1212,4289791,3642843,4759796,4750733,4425891
1329,slr1390,616238.,482205.,665320.,707488.,469996.
1330,sll1771,646094.,868057.,779561.,837227.,1089309
1331,slr1598,190275.,150429.,194862.,200558.,218834.
1332,slr0118,2353248,2127561,1925818,1370250,1615863
1333,slr0651,2074994,1917174,2099671,1760624,1613051
1334,slr1583,101432.,123800.,71483.5,80614.0,131122.
1335,slr1843,8757422,8007179,9295472,6043913,8587484
1336,sll1317,1039951,1045899,1237732,1197090,1703029
1337,slr0958,658231.,559192.,879812.,807663.,748457.
1338,slr1322,397427.,448127.,478787.,436260.,571417.
1339,sll0899,305470.,134515.,205344.,168451.,254520.
1340,slr1225,482662.,603627.,528256.,389928.,458758.
1341,slr0525,2949211,2473042,3327985,3067262,3741363
1342,sll0441,794560.,1010956,1063671,954599.,824300.
1343,sll1315,2871735,3498837,3017674,2695717,2547298
1344,slr0506,2461413,2715743,3121198,2394113,3236900
1345,sll1613,454107.,472840.,414552.,538040.,609601.
1346,sll0497,414221.,322656.,512925.,310558.,295281.
1347,slr1216,2839572,2664090,2873467,2595953,2772673
1348,slr1106,180570.,131367.,281695.,267977.,258216.
1349,slr0879,3055497,1904364,2944942,3162237,2180950
1350,slr0580,153611.,252360.,290671.,485613.,193125.
1351,sll1198,348640.,336780.,336007.,310295.,284548.
1352,slr1031,3132563,2282052,2342084,1944425,2332451
1353,slr1615,190880.,186696.,265743.,180574.,196820.
1354,slr1668,4238106,4100648,3409834,3596601,3668929
1355,slr1211,160161.,173843.,179800.,183264.,205462.
1356,slr1877,1781930,1438894,1931339,1788522,2163371
1357,slr1743,781233.,562659.,718053.,596286.,464602.
1358,slr0280,374218.,353035.,348003.,322982.,387062.
1359,slr0854,457300.,311875.,309235.,416845.,318001.
1360,slr0833,325058.,389680.,455657.,342405.,319030.
1361,slr1280,1240031,1047954,912494.,599390.,839050.
1362,sll0997,2812585,2043978,1950314,1857256,2203078
1363,slr0537,1338997,1147113,683780.,721127.,1016590
1364,slr0482,163919.,139820.,144736.,117163.,165503.
1365,slr1125,221022.,204384.,262289.,205628.,243733.
1366,sll0185,3039490,2583093,4187130,3071392,3637387
1367,sll1891,770585.,348700.,560033.,499525.,387029.
1368,ssl0438,294787.,154226.,134164.,426739.,191102.
1369,slr0245,247996.,191495.,133131.,196831.,99811.8
1370,slr2105,413760.,374276.,364040.,368652.,322252.
1371,sll0931,219871.,253146.,177730.,320173.,251878.
1372,slr2102,265625.,252094.,195421.,284549.,231015.
1373,slr0806,631088.,454534.,629856.,682813.,484784.
1374,sll0828,597541.,561828.,614709.,744548.,725929.
1375,sll1329,263715.,379116.,288778.,255615.,346129.
1376,ssl1690,9978741,1141351,7747875,9898963,8476493
1377,slr1207,903394.,1018013,811923.,723240.,702527.
1378,slr0484,372254.,371002.,391265.,286602.,344107.
1379,slr1331,1957694,2004207,1803071,2138271,2014561
1380,sll0228,1481697,1178400,1420141,1466182,1379325
1381,slr2013,158076.,113832.,122538.,110467.,127029.
1382,slr1426,202044.,204221.,233584.,183742.,236613.
1383,sll1558,926154.,973717.,1053806,925751.,1030965
1384,slr1281,678115.,1057129,899479.,994507.,988805.
1385,sll0412,354223.,184070.,210091.,299477.,280553.
1386,sll1621,1154400,1009213,7754390,9375883,7091033
1387,slr1799,133235.,134583.,164197.,167002.,168743.
1388,slr0565,194161.,167000.,355230.,329405.,329967.
1389,slr0878,499869.,414383.,516356.,530350.,782996.
1390,sll0872,2136082,2126308,1967164,2150697,2086659
1391,ssl0546,764036.,783370.,768280.,812393.,637953.
1392,slr0749,220902.,207272.,218069.,150905.,242998.
1393,slr1179,619666.,716258.,803453.,673578.,798004.
1394,slr2100,771663.,850775.,872366.,825365.,887298.
1395,slr1626,982177.,1212477,1238256,1697364,1434602
